condition_name,condition_group,condition_value,n_trials,mean_fixations_all,std_fixations_all,accuracy_by_8_fixations_all,found_within_3_fixations_rate_all,found_within_3_fixations_count_all,not_found_within_3_fixations_count_all,mean_fixations_target_different,std_fixations_target_different,accuracy_target_different,found_within_3_fixations_rate_target_different,found_within_3_fixations_count_target_different,not_found_within_3_fixations_count_target_different,mean_fixations_target_identical,std_fixations_target_identical,accuracy_target_identical,found_within_3_fixations_rate_target_identical,found_within_3_fixations_count_target_identical,not_found_within_3_fixations_count_target_identical,mean_score_target_all,mean_score_max_distractor_all,mean_score_mean_distractor_all,mean_score_margin_all,std_score_margin_all,mean_target_rank_all,top1_rate_all,mean_p_target_all,mean_score_target_target_different,mean_score_max_distractor_target_different,mean_score_mean_distractor_target_different,mean_score_margin_target_different,std_score_margin_target_different,mean_target_rank_target_different,top1_rate_target_different,mean_p_target_target_different,mean_score_target_target_identical,mean_score_max_distractor_target_identical,mean_score_mean_distractor_target_identical,mean_score_margin_target_identical,std_score_margin_target_identical,mean_target_rank_target_identical,top1_rate_target_identical,mean_p_target_target_identical,transform,experiment
blur_6,blur_radius,6.0,500,4.392000198364258,2.362696647644043,1.0,0.4199999868869781,210,290,5.480000019073486,2.2955610752105717,1.0,0.2300000041723251,46,154,3.6666667461395264,2.115550756454468,1.0,0.54666668176651,164,136,18.86884307861328,33.587642669677734,19.185266494750977,-14.718798637390137,16.5882625579834,3.3919999599456787,0.1199999973177909,0.1250529736280441,19.05727767944336,41.77849578857422,23.91968536376953,-22.721216201782227,20.383697509765625,4.480000019073486,0.0799999982118606,0.076101005077362,18.743223190307617,28.127077102661133,16.02898597717285,-9.383855819702148,10.510309219360352,2.6666667461395264,0.1466666609048843,0.1576876193284988,blur,results_blur_strong_8cat_smoothed_alpha_target_b3
noise_0,noise_std,0.0,500,3.2679998874664307,2.268959283828736,1.0,0.6159999966621399,308,192,4.0,2.353720426559448,1.0,0.4699999988079071,94,106,2.7799999713897705,2.071617841720581,1.0,0.7133333086967468,214,86,38.94662857055664,43.621524810791016,24.78741455078125,-4.674895286560059,33.993309020996094,2.2679998874664307,0.2960000038146972,0.2992406785488128,29.59088706970215,42.1358757019043,23.92812728881836,-12.544987678527832,24.53789520263672,3.0,0.1800000071525573,0.1892958432435989,45.18378829956055,44.611961364746094,25.36027336120605,0.5718331933021545,38.15340423583984,1.7799999713897705,0.3733333349227905,0.3725372850894928,noise,results_noise_8cat_smoothed_alpha_target_b3
noise_0.03,noise_std,0.03,500,3.2839999198913574,2.241281747817993,1.0,0.628000020980835,314,186,4.005000114440918,2.3398661613464355,1.0,0.4850000143051147,97,103,2.803333282470703,2.0358426570892334,1.0,0.7233333587646484,217,83,37.80949401855469,43.35558319091797,24.48797607421875,-5.546090602874756,31.98716735839844,2.2839999198913574,0.2899999916553497,0.2929675877094269,29.623239517211918,42.13994216918945,23.93157768249512,-12.516704559326172,24.204242706298828,3.005000114440918,0.1700000017881393,0.1858597248792648,43.26699447631836,44.16600799560547,24.858909606933597,-0.8990145921707153,35.506988525390625,1.8033332824707031,0.3700000047683716,0.3643728196620941,noise,results_noise_8cat_smoothed_alpha_target_b3
noise_0.06,noise_std,0.06,500,3.3239998817443848,2.259872436523437,1.0,0.6079999804496765,304,196,3.9700000286102295,2.359894037246704,1.0,0.4749999940395355,95,105,2.8933334350585938,2.0821356773376465,1.0,0.6966666579246521,209,91,35.60700607299805,42.527530670166016,23.881351470947266,-6.920526027679443,29.133132934570312,2.3239998817443848,0.2820000052452087,0.2886627912521362,29.512895584106445,42.167598724365234,23.935529708862305,-12.654705047607422,23.90518569946289,2.970000028610229,0.1850000023841858,0.1896553784608841,39.66975402832031,42.76749420166016,23.84523200988769,-3.0977399349212646,31.576250076293945,1.893333315849304,0.3466666638851166,0.3546677231788635,noise,results_noise_8cat_smoothed_alpha_target_b3
noise_0.09,noise_std,0.09,500,3.378000020980835,2.2731289863586426,1.0,0.5979999899864197,299,201,4.025000095367432,2.382094621658325,1.0,0.4799999892711639,96,104,2.946666717529297,2.0889763832092285,1.0,0.6766666769981384,203,97,33.29084777832031,40.98349380493164,23.086463928222656,-7.692647457122803,26.03406143188477,2.378000020980835,0.2680000066757202,0.2744486927986145,29.35492706298828,42.157325744628906,23.94767570495605,-12.802398681640623,24.00888442993164,3.025000095367432,0.1850000023841858,0.1902697384357452,35.914794921875,40.2009391784668,22.5123233795166,-4.286147117614746,26.76426315307617,1.9466667175292969,0.3233333230018616,0.3305680453777313,noise,results_noise_8cat_smoothed_alpha_target_b3
noise_0.12,noise_std,0.12,500,3.3980000019073486,2.273234844207764,1.0,0.6100000143051147,305,195,4.0,2.420743703842163,1.0,0.4900000095367431,98,102,2.996666669845581,2.0744450092315674,1.0,0.6899999976158142,207,93,31.03333854675293,39.585262298583984,22.27091789245605,-8.551923751831055,24.20982360839844,2.3980000019073486,0.2540000081062317,0.2551031708717346,28.503568649291992,42.15286636352539,23.95223426818848,-13.64929485321045,22.69962310791016,3.0,0.1800000071525573,0.1833447962999344,32.7198486328125,37.87352752685547,21.15003967285156,-5.153676986694336,24.586050033569336,1.996666669845581,0.3033333420753479,0.3029420971870422,noise,results_noise_8cat_smoothed_alpha_target_b3
noise_0,noise_std,0.0,500,2.380000114440918,1.9868569374084477,1.0,0.7720000147819519,386,114,3.059999942779541,2.2218010425567627,1.0,0.6299999952316284,126,74,1.9266666173934937,1.6657196283340454,1.0,0.8666666746139526,260,40,50.62017440795898,43.97657012939453,24.959142684936523,6.643608570098877,37.96521759033203,1.3799999952316284,0.5199999809265137,0.5117540955543518,37.87919616699219,42.54867172241211,24.073392868041992,-4.669477939605713,27.218963623046875,2.059999942779541,0.3700000047683716,0.3588289022445678,59.114166259765625,44.928497314453125,25.549644470214844,14.18566608428955,42.02548599243164,0.9266666769981384,0.6200000047683716,0.6137041449546814,noise,results_noise_8cat_unsmoothed
noise_0.12,noise_std,0.12,500,2.5280001163482666,1.9700802564620967,1.0,0.7559999823570251,378,122,3.2249999046325684,2.2747251987457275,1.0,0.6150000095367432,123,77,2.06333327293396,1.5745863914489746,1.0,0.8500000238418579,255,45,40.16731262207031,39.75608825683594,22.405736923217773,0.4112277925014496,26.474123001098636,1.527999997138977,0.4379999935626983,0.4374544024467468,35.4460334777832,42.62713241577149,24.135995864868164,-7.181097507476807,25.48848533630371,2.2249999046325684,0.3199999928474426,0.3170551061630249,43.31483840942383,37.84205627441406,21.25222969055176,5.472777843475342,25.903188705444336,1.0633333921432495,0.5166666507720947,0.517720639705658,noise,results_noise_8cat_unsmoothed
noise_0,noise_std,0.0,500,3.2679998874664307,2.268959283828736,1.0,0.6159999966621399,308,192,4.0,2.353720426559448,1.0,0.4699999988079071,94,106,2.7799999713897705,2.071617841720581,1.0,0.7133333086967468,214,86,38.94662857055664,43.621524810791016,24.78741455078125,-4.674895286560059,33.993309020996094,2.2679998874664307,0.2960000038146972,0.2992406785488128,29.59088706970215,42.1358757019043,23.92812728881836,-12.544987678527832,24.53789520263672,3.0,0.1800000071525573,0.1892958432435989,45.18378829956055,44.611961364746094,25.36027336120605,0.5718331933021545,38.15340423583984,1.7799999713897705,0.3733333349227905,0.3725372850894928,noise,results_noise_strong_8cat_smoothed_alpha_target_b3
noise_0.05,noise_std,0.05,500,3.303999900817871,2.2529056072235107,1.0,0.6200000047683716,310,190,3.9700000286102295,2.3514037132263184,1.0,0.4850000143051147,97,103,2.859999895095825,2.0689127445220947,1.0,0.7099999785423279,213,87,36.40354537963867,42.7475700378418,24.09230232238769,-6.34402322769165,29.9572868347168,2.303999900817871,0.2899999916553497,0.2883399128913879,29.50042724609375,42.13931274414063,23.933744430541992,-12.63888168334961,23.967618942260746,2.970000028610229,0.1850000023841858,0.184865802526474,41.0056266784668,43.153076171875,24.1980094909668,-2.147450685501098,32.69157409667969,1.8600000143051147,0.3600000143051147,0.357322633266449,noise,results_noise_strong_8cat_smoothed_alpha_target_b3
noise_0.1,noise_std,0.1,500,3.368000030517578,2.247793674468994,1.0,0.6060000061988831,303,197,3.954999923706055,2.381800889968872,1.0,0.4950000047683716,99,101,2.9766666889190674,2.063037157058716,1.0,0.6800000071525574,204,96,32.471343994140625,40.65260314941406,22.80210494995117,-8.181257247924805,25.25604820251465,2.368000030517578,0.2619999945163727,0.2644059658050537,29.17420196533203,42.184078216552734,23.95011138916016,-13.00987434387207,23.28192710876465,2.9549999237060547,0.1850000023841858,0.1876688748598098,34.669437408447266,39.631614685058594,22.036767959594727,-4.962179183959961,25.99695587158203,1.9766666889190676,0.3133333325386047,0.3155640661716461,noise,results_noise_strong_8cat_smoothed_alpha_target_b3
noise_0.15,noise_std,0.15,500,3.444000005722046,2.273953437805176,1.0,0.6019999980926514,301,199,4.059999942779541,2.4261903762817383,1.0,0.4749999940395355,95,105,3.033333301544189,2.066935539245605,1.0,0.6866666674613953,206,94,29.71196174621582,38.28099822998047,21.555206298828125,-8.569034576416016,22.80301284790039,2.444000005722046,0.2560000121593475,0.2585708796977997,28.23494911193848,42.19355392456055,23.98575592041016,-13.958608627319336,23.01146125793457,3.059999942779541,0.1949999928474426,0.190433457493782,30.69664001464844,35.67262268066406,19.93484306335449,-4.975985050201416,21.93936538696289,2.033333301544189,0.2966666519641876,0.3039958477020263,noise,results_noise_strong_8cat_smoothed_alpha_target_b3
noise_0.2,noise_std,0.2,500,3.374000072479248,2.269388437271118,1.0,0.6179999709129333,309,191,4.135000228881836,2.3972432613372803,1.0,0.4799999892711639,96,104,2.866666555404663,2.0270392894744877,1.0,0.7099999785423279,213,87,28.57218360900879,36.919525146484375,20.690673828125,-8.347339630126953,21.94615364074707,2.374000072479248,0.2639999985694885,0.2693759799003601,26.451641082763672,42.21857070922852,24.023080825805664,-15.766931533813477,21.30719375610352,3.134999990463257,0.1500000059604644,0.1495283246040344,29.985877990722656,33.386817932128906,18.46906852722168,-3.400944709777832,20.94973564147949,1.8666666746139529,0.3400000035762787,0.3492744565010071,noise,results_noise_strong_8cat_smoothed_alpha_target_b3
rotation_0,rotation_deg,0.0,500,3.2679998874664307,2.268959283828736,1.0,0.6159999966621399,308,192,4.0,2.353720426559448,1.0,0.4699999988079071,94,106,2.7799999713897705,2.071617841720581,1.0,0.7133333086967468,214,86,38.94662857055664,43.621524810791016,24.78741455078125,-4.674895286560059,33.993309020996094,2.2679998874664307,0.2960000038146972,0.2992406785488128,29.59088706970215,42.1358757019043,23.92812728881836,-12.544987678527832,24.53789520263672,3.0,0.1800000071525573,0.1892958432435989,45.18378829956055,44.611961364746094,25.36027336120605,0.5718331933021545,38.15340423583984,1.7799999713897705,0.3733333349227905,0.3725372850894928,rotation,results_rotation_8cat_smoothed_alpha_target_b3
rotation_30,rotation_deg,30.0,500,3.684000015258789,2.3477957248687744,1.0,0.5479999780654907,274,226,4.519999980926514,2.406158685684204,1.0,0.3899999856948852,78,122,3.126666784286499,2.133218765258789,1.0,0.653333306312561,196,104,31.02760505676269,41.858734130859375,24.090160369873047,-10.83112907409668,26.162429809570312,2.684000015258789,0.2360000014305114,0.2300264239311218,24.648408889770508,42.282344818115234,23.99227523803711,-17.633935928344727,21.168359756469727,3.5199999809265137,0.1299999952316284,0.1404687166213989,35.28040313720703,41.57632827758789,24.15542221069336,-6.295923709869385,28.118227005004883,2.126666784286499,0.3066666722297668,0.2897315919399261,rotation,results_rotation_8cat_smoothed_alpha_target_b3
rotation_60,rotation_deg,60.0,500,3.920000076293945,2.3953287601470947,1.0,0.4839999973773956,242,258,4.679999828338623,2.3016517162323,1.0,0.3400000035762787,68,132,3.4133334159851074,2.321455478668213,1.0,0.5799999833106995,174,126,26.940523147583008,40.4797248840332,23.638641357421875,-13.539206504821776,21.316747665405277,2.9200000762939453,0.2199999988079071,0.2217072546482086,21.824726104736328,42.16982269287109,23.96784019470215,-20.34510040283203,20.56604766845703,3.680000066757202,0.1000000014901161,0.1132726073265075,30.351055145263672,39.35299301147461,23.419172286987305,-9.001943588256836,20.58877944946289,2.4133334159851074,0.3000000119209289,0.2939970195293426,rotation,results_rotation_8cat_smoothed_alpha_target_b3
rotation_90,rotation_deg,90.0,500,4.432000160217285,2.432565689086914,1.0,0.4120000004768371,206,294,5.139999866485596,2.404246091842652,1.0,0.2899999916553497,58,142,3.9600000381469727,2.3348946571350098,1.0,0.4933333396911621,148,152,23.32691192626953,40.195899963378906,23.45189666748047,-16.86898422241211,20.35760307312012,3.431999921798706,0.1439999938011169,0.1453304141759872,19.327667236328125,42.091678619384766,23.991500854492188,-22.764013290405277,21.88387489318848,4.139999866485596,0.0900000035762786,0.091111734509468,25.993074417114254,38.93204116821289,23.092161178588867,-12.938966751098633,18.243852615356445,2.9600000381469727,0.1800000071525573,0.181476205587387,rotation,results_rotation_8cat_smoothed_alpha_target_b3
rotation_120,rotation_deg,120.0,500,4.5879998207092285,2.3820695877075195,1.0,0.3799999952316284,190,310,5.440000057220459,2.2285420894622803,1.0,0.25,50,150,4.019999980926514,2.3107573986053467,1.0,0.4666666686534881,140,160,23.262784957885746,40.30893707275391,23.50872230529785,-17.0461483001709,19.592905044555664,3.588000059127808,0.123999997973442,0.1274930983781814,18.41103744506836,42.12031173706055,23.94139671325684,-23.709272384643555,20.587966918945312,4.440000057220459,0.050000000745058,0.060614213347435,26.497283935546875,39.101348876953125,23.220272064208984,-12.604063987731934,17.546987533569336,3.0199999809265137,0.1733333319425583,0.1720790416002273,rotation,results_rotation_8cat_smoothed_alpha_target_b3
rotation_150,rotation_deg,150.0,500,4.303999900817871,2.3434128761291504,1.0,0.4199999868869781,210,290,4.989999771118164,2.269339084625244,1.0,0.3199999928474426,64,136,3.846666574478149,2.279581069946289,1.0,0.4866666793823242,146,154,23.991458892822266,40.16312026977539,23.452377319335938,-16.171661376953125,18.760498046875,3.303999900817871,0.1439999938011169,0.1440851837396621,20.08953094482422,41.86029815673828,23.927358627319336,-21.77076911926269,20.52423477172852,3.990000009536743,0.0700000002980232,0.0668606460094451,26.592744827270508,39.03166580200195,23.135723114013672,-12.438922882080078,16.459980010986328,2.8466665744781494,0.1933333277702331,0.1955682188272476,rotation,results_rotation_8cat_smoothed_alpha_target_b3
